listing_id,lat,lon
2708,34.09625,-118.34605
2732,34.0044,-118.48095
2864,33.8749,-118.11515
6033,34.16887,-118.64478
6931,34.09626,-118.34372
7874,33.87687,-118.11444
8021,34.06016,-118.37911
9140,33.77202,-118.18852
9376,33.99782,-118.47698
98284,34.13258,-118.41202
101424,34.06247,-118.29005
101702,34.07332,-118.26331
106052,33.8271,-118.27944
106061,34.08416,-118.26684
111646,34.17324,-118.38833
113253,34.04884,-118.37155
114203,34.091907218739856,-118.36572272329862
117276,34.09706,-118.61913
120005,33.91942,-118.20913
257003,34.1142317,-118.3229089
259679,34.10707,-118.19155
260698,34.16589,-118.12312
262430,34.50752,-118.3183
266566,34.10864,-118.32937
272637,33.83951,-118.38002
273119,33.99618,-118.45439
278106,33.97975,-118.46494
278184,33.99043235009022,-118.47700762409116
9545,33.83866,-118.3872
11877,33.99573,-118.47216
13776,33.83931,-118.38638
14124,33.83931,-118.38638
15089,34.04276657104492,-118.35211944580078
121717,34.20977,-118.16546
124199,34.06547,-118.40422
130915,34.13299,-118.70287
131557,34.08023,-118.25646
132908,34.10236,-118.37752
134553,34.09729,-118.61616
135608,34.04827,-118.23603
138211,34.03493,-118.4629
138244,34.1217,-118.26329
279086,33.99927,-118.42641
281287,33.89936,-118.25553
286019,34.15787,-118.32
286866,34.11224,-118.25668
287630,34.16658,-118.62265
288428,34.19141,-118.48034
290761,34.17286,-118.12009
296379,34.08517,-118.35453
297561,33.81127,-118.38859
15333,34.16614532470703,-118.4123764038086
146845,34.21888,-118.34594
150097,34.18347057360096,-118.39908792544004
152514,33.90502166748047,-118.42046356201172
153412,33.98362,-118.4687
160288,34.09793,-118.61621
162047,33.77191,-118.39385
164889,34.09813,-118.61599
164946,34.04827,-118.23603
165978,34.06923,-118.34549
18041,33.99179,-118.45056
297682,34.09401,-118.36457
299876,34.09014,-118.24872
300476,34.0052,-118.45733
305722,33.84692,-118.15613
307541,33.98831,-118.47154
311176,34.00882,-118.33335
312387,33.92483,-118.27031
320747,33.87213,-118.39654
321051,33.98997376139036,-118.34882618084067
18067,33.99117,-118.45159
180926,34.07054,-118.89799
181511,34.10053,-118.24925
183319,33.99211,-118.476
188081,34.11088,-118.30782
190160,34.07098,-118.25078
191733,34.11365,-118.25162
194809,34.0238,-118.40512
195229,34.02035,-118.43428
196410,34.08187,-118.25663
197756,34.08618,-118.27651
18433,33.99121,-118.44049
19887,34.08363,-118.2843
23710,34.12057,-118.18934
23925,34.00299,-118.46556
321179,34.08828,-118.2842
321599,33.977921,-118.463158
323093,34.08267,-118.64594
326787,34.10039,-118.35362
327934,34.16061,-118.371
328989,34.06303,-118.36374
331450,34.03676,-118.49616
337928,34.08708,-118.35434
344646,34.02846,-118.51825
346756,34.02445,-118.49391
198613,34.08538,-118.34455
202267,34.01185,-118.49593
203991,34.03301,-118.46104
206806,34.08902,-118.41458
210489,34.05228280688662,-118.39561067671796
214533,34.09624,-118.34656
215161,33.97713,-118.46279
217666,34.0768,-118.35301
24030,33.98798,-118.47245
24041,33.83889,-118.38537
24349,34.10942,-118.22003
25670,34.04579,-118.44166
26082,34.1674,-118.64293
347925,34.09241,-118.28065
350634,33.91961,-118.42146
350756,34.06418,-118.33978
354281,33.762,-118.12665
356290,34.00351,-118.478
357323,34.08115,-118.25549
357690,34.16108,-118.10577
358575,34.08898,-118.25007
30470,34.02496,-118.38513
221502,34.06581,-118.29441
222200,33.99314,-118.46053
226517,33.747541,-118.3031779
229209,34.05115,-118.42038
229799,34.04682,-118.43568
237985,33.99492,-118.45825
237988,33.9943,-118.45642
239032,34.09928,-118.59125
32963,33.99327,-118.44407
33447,34.01451,-118.8064
40667,34.03926,-118.38017
43318,34.04828,-118.23605
44509,34.1982,-118.4589
44511,33.91942,-118.20913
359854,34.05479,-118.36375
360147,34.07567,-118.25068
365635,34.09543,-118.35066
371574,34.08899,-118.24415
374590,34.09451,-118.27413
375882,34.10839,-118.28976
376740,33.85446,-118.39645
377271,34.0667,-118.35127
241906,34.14461,-118.4158
242108,33.84705,-118.19424
245682,34.11803,-118.78347
253683,33.84731,-118.19586
254259,34.00393424722849,-118.45592128999488
254320,34.13973,-118.40872
254844,34.09365724616285,-118.43545058668543
255656,34.10336,-118.32366
45392,34.10632,-118.22361
45417,34.09574,-118.27788
46853,34.08574,-118.28536
46858,34.01269,-118.40788
47794,33.99344,-118.44295
381068,34.11307089613558,-118.60924942642606
387562,34.08655,-118.59557
393966,34.04805,-118.23797
394508,34.09669,-118.33316
394904,34.00351333618164,-118.47799682617188
395221,34.0785,-118.41364
395305,34.12887,-118.23526
400940,33.99077,-118.42775
400984,34.08736,-118.35392
402053,34.17028045654297,-118.6543960571289
49731,34.15533,-118.23708
51307,34.12206,-118.26783
51498,34.00103425485201,-118.44055003312948
255701,34.10336,-118.32366
255709,34.08295,-118.27693
256182,34.07967,-118.28379
256622,34.0927,-118.36314
413761,34.00599,-118.47871
415357,34.16354,-118.45621
